id,name_ru,name_eng,brand,description,year_in,year_out,year_return,status,is_leave,comment,createdAt,updatedAt,publishedAt,segment,rage,country,country_root,links_text,images_text,peoples_text
101,Qmall,Qmall,Qmall,криптобиржаa,2022-02-27,2022-02-27,2022-02-27,3,true,,2022-03-06T19:14:08.650Z,2022-03-06T19:14:08.650Z,2022-03-06T22:14:08.633Z,0,0,,,,,
102,Dmarket,Dmarket,Dmarket,маркетплейс,2022-02-27,2022-02-27,2022-02-27,3,true,,2022-03-06T19:14:08.681Z,2022-03-06T19:14:08.681Z,2022-03-06T22:14:08.666Z,0,0,,,,,
103,Fedex,Fedex,Fedex Corporation,"компания, предоставляющая почтовые, курьерские и другие услуги логистики по всему миру",2022-02-24,2022-02-24,2022-02-24,2,true,посылки зависли,2022-03-06T19:14:08.710Z,2022-03-06T19:14:08.710Z,2022-03-06T22:14:08.695Z,0,0,,,,,
104,Ups,Ups,"United Parcel Service, Inc","компания, специализирующаяся на экспресс-доставке и логистике",2022-02-27,2022-02-27,2022-02-27,1,true,постараются доставить посылки или вернуть,2022-03-06T19:14:08.740Z,2022-03-06T19:14:08.740Z,2022-03-06T22:14:08.724Z,0,0,,,,,
105,Maersk,Maersk,Maersk,крупнейший контейнерный перевозчик,2022-03-04,2022-03-04,2022-03-04,3,true,,2022-03-06T19:14:08.770Z,2022-03-06T19:14:08.770Z,2022-03-06T22:14:08.755Z,0,0,,,,,
106,Cma Cgm,Cma Cgm,Cma Cgm Group,топ4 контейнерный перевозчик,2022-03-01,2022-03-01,2022-03-01,1,true,,2022-03-06T19:14:08.805Z,2022-03-06T19:14:08.805Z,2022-03-06T22:14:08.787Z,0,0,,,,,
107,Https://Joinposter.Com/,Https://Joinposter.Com/,Poster,"Облачный сервис для автоматизации кафе, ресторана или маленького магазина на планшете.",2022-03-06,2022-03-06,2022-03-06,1,true,"Запретили использование для пользователей из РФ и РБ,",2022-03-06T19:14:08.840Z,2022-03-06T19:14:08.840Z,2022-03-06T22:14:08.824Z,0,0,,,,,
108,"Zara, Massimo Dutti, Bershka, Oysho, Pull & Bear, Stradivarius","Zara, Massimo Dutti, Bershka, Oysho, Pull & Bear, Stradivarius",Inditex,"Inditex S.A., «Индитекс» — испанская компания, владелец крупных сетей магазинов, мировой лидер в сфере розничной торговли одеждой. Полное наименование — Industria de Diseño Textil Sociedad Anónima. Штаб-квартира — в городе Артейхо. Держателем контрольного пакета акций остаётся основатель компании Амансио Ортега",2022-03-05,2022-03-05,2022-03-05,1,true,,2022-03-06T19:14:08.873Z,2022-03-06T19:14:08.873Z,2022-03-06T22:14:08.857Z,0,0,,,,,
109,"Gucci, Balenciaga, Yves Saint Laurent","Gucci, Balenciaga, Yves Saint Laurent",Kering,,2022-03-04,2022-03-04,2022-03-04,1,true,поддержит сотрудников,2022-03-06T19:14:08.903Z,2022-03-06T19:14:08.903Z,2022-03-06T22:14:08.888Z,0,0,,,,,
110,Lvmh,Lvmh,Lvmh,роскошь,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:08.936Z,2022-03-06T19:14:08.936Z,2022-03-06T22:14:08.920Z,0,0,,,,,
111,Hermes,Hermes,Hermes,роскошь,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:08.969Z,2022-03-06T19:14:08.969Z,2022-03-06T22:14:08.953Z,0,0,,,,,
112,Chanel,Chanel,Chanel,роскошь,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:09.001Z,2022-03-06T19:14:09.001Z,2022-03-06T22:14:08.986Z,0,0,,,,,
113,Cartier.,Cartier.,Cartier,роскошь,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:09.034Z,2022-03-06T19:14:09.034Z,2022-03-06T22:14:09.018Z,0,0,,,,,
114,"Dunhill, Jaeger-Lecoultre, Montblanc, Piaget, Van Cleef & Arpels","Dunhill, Jaeger-Lecoultre, Montblanc, Piaget, Van Cleef & Arpels",Richemont,роскошь,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:09.064Z,2022-03-06T19:14:09.064Z,2022-03-06T22:14:09.049Z,0,0,,,,,
